"station","site","bay","temp.c","julian","year","species","age.1","age.0"
1,"Ugak-1","Ugak",12,186,"2018","Pacific cod",0,0
1,"Ugak-1","Ugak",12,186,"2018","walleye pollock",0,0
2,"Ugak-2","Ugak",11.9,186,"2018","Pacific cod",0,1
2,"Ugak-2","Ugak",11.9,186,"2018","walleye pollock",0,0
3,"Ugak-3","Ugak",13.2,186,"2018","Pacific cod",0,11
3,"Ugak-3","Ugak",13.2,186,"2018","walleye pollock",0,0
4,"Ugak-4","Ugak",8.3,186,"2018","Pacific cod",0,1
4,"Ugak-4","Ugak",8.3,186,"2018","walleye pollock",0,0
5,"Ugak-5","Ugak",12.5,186,"2018","Pacific cod",0,21
5,"Ugak-5","Ugak",12.5,186,"2018","walleye pollock",0,0
6,"Ugak-6","Ugak",11.9,186,"2018","Pacific cod",0,103
6,"Ugak-6","Ugak",11.9,186,"2018","walleye pollock",0,0
7,"Kilu-1","Kiluida",14.3,188,"2018","Pacific cod",0,0
7,"Kilu-1","Kiluida",14.3,188,"2018","walleye pollock",0,0
8,"Kilu-2","Kiluida",16.2,188,"2018","Pacific cod",0,0
8,"Kilu-2","Kiluida",16.2,188,"2018","walleye pollock",0,0
9,"Kilu-3","Kiluida",15.9,188,"2018","Pacific cod",0,13
9,"Kilu-3","Kiluida",15.9,188,"2018","walleye pollock",0,0
10,"Kilu-4","Kiluida",16.9,188,"2018","Pacific cod",0,4
10,"Kilu-4","Kiluida",16.9,188,"2018","walleye pollock",0,0
11,"Kilu-5","Kiluida",15,188,"2018","Pacific cod",0,5
11,"Kilu-5","Kiluida",15,188,"2018","walleye pollock",0,0
12,"Kilu-6","Kiluida",15,188,"2018","Pacific cod",0,0
12,"Kilu-6","Kiluida",15,188,"2018","walleye pollock",0,0
13,"Kilu-7","Kiluida",15.7,188,"2018","Pacific cod",0,2
13,"Kilu-7","Kiluida",15.7,188,"2018","walleye pollock",0,0
14,"Kai-1","Kaiugnak",10.5,190,"2018","Pacific cod",0,2
14,"Kai-1","Kaiugnak",10.5,190,"2018","walleye pollock",0,0
15,"Kai-2","Kaiugnak",10.7,190,"2018","Pacific cod",6,7
15,"Kai-2","Kaiugnak",10.7,190,"2018","walleye pollock",0,0
16,"Kai-3","Kaiugnak",10.5,190,"2018","Pacific cod",1,18
16,"Kai-3","Kaiugnak",10.5,190,"2018","walleye pollock",0,0
17,"Kai-4","Kaiugnak",10.4,190,"2018","Pacific cod",0,45
17,"Kai-4","Kaiugnak",10.4,190,"2018","walleye pollock",0,0
18,"Kai-5","Kaiugnak",9.1,190,"2018","Pacific cod",0,13
18,"Kai-5","Kaiugnak",9.1,190,"2018","walleye pollock",0,0
19,"Kai-6","Kaiugnak",10.4,190,"2018","Pacific cod",1,6
19,"Kai-6","Kaiugnak",10.4,190,"2018","walleye pollock",0,0
20,"Jap-1","Japanese",10.6,192,"2018","Pacific cod",0,407
20,"Jap-1","Japanese",10.6,192,"2018","walleye pollock",0,0
21,"Jap-2","Japanese",11,192,"2018","Pacific cod",0,302
21,"Jap-2","Japanese",11,192,"2018","walleye pollock",0,0
22,"Jap-3","Japanese",10.4,192,"2018","Pacific cod",0,345
22,"Jap-3","Japanese",10.4,192,"2018","walleye pollock",0,0
23,"Jap-4","Japanese",11.3,192,"2018","Pacific cod",0,1
23,"Jap-4","Japanese",11.3,192,"2018","walleye pollock",0,0
24,"Jap-5","Japanese",12.6,192,"2018","Pacific cod",0,42
24,"Jap-5","Japanese",12.6,192,"2018","walleye pollock",0,0
25,"Jap-6","Japanese",12.7,192,"2018","Pacific cod",0,47
25,"Jap-6","Japanese",12.7,192,"2018","walleye pollock",0,0
26,"RR-1","Rodman Reach",10.5,195,"2018","Pacific cod",0,17
26,"RR-1","Rodman Reach",10.5,195,"2018","walleye pollock",0,0
27,"RR-2","Rodman Reach",10.8,195,"2018","Pacific cod",0,16
27,"RR-2","Rodman Reach",10.8,195,"2018","walleye pollock",0,0
28,"RR-3","Rodman Reach",10.6,195,"2018","Pacific cod",0,379
28,"RR-3","Rodman Reach",10.6,195,"2018","walleye pollock",0,0
29,"RR-4","Rodman Reach",10.5,195,"2018","Pacific cod",0,44
29,"RR-4","Rodman Reach",10.5,195,"2018","walleye pollock",0,0
30,"RR-5","Rodman Reach",10.8,195,"2018","Pacific cod",0,0
30,"RR-5","Rodman Reach",10.8,195,"2018","walleye pollock",0,0
31,"RR-6","Rodman Reach",10.7,195,"2018","Pacific cod",0,54
31,"RR-6","Rodman Reach",10.7,195,"2018","walleye pollock",0,0
32,"AG-1","Agripina",10.1,197,"2018","Pacific cod",0,103
32,"AG-1","Agripina",10.1,197,"2018","walleye pollock",0,0
33,"AG-2","Agripina",9.2,197,"2018","Pacific cod",0,200
33,"AG-2","Agripina",9.2,197,"2018","walleye pollock",0,0
34,"AG-3","Agripina",10.6,197,"2018","Pacific cod",0,643
34,"AG-3","Agripina",10.6,197,"2018","walleye pollock",0,2
35,"AG-4","Agripina",11.8,197,"2018","Pacific cod",0,835
35,"AG-4","Agripina",11.8,197,"2018","walleye pollock",0,1
36,"AG-5","Agripina",12,197,"2018","Pacific cod",0,807
36,"AG-5","Agripina",12,197,"2018","walleye pollock",0,6
37,"AG-6","Agripina",12.3,197,"2018","Pacific cod",0,2
37,"AG-6","Agripina",12.3,197,"2018","walleye pollock",0,0
38,"PW-1","Port Wrangell",8.6,198,"2018","Pacific cod",0,558
38,"PW-1","Port Wrangell",8.6,198,"2018","walleye pollock",0,3144
39,"PW-2","Port Wrangell",8.7,198,"2018","Pacific cod",0,552
39,"PW-2","Port Wrangell",8.7,198,"2018","walleye pollock",0,3630
40,"PW-3","Port Wrangell",9.5,198,"2018","Pacific cod",0,477
40,"PW-3","Port Wrangell",9.5,198,"2018","walleye pollock",0,2277
41,"PW-4","Port Wrangell",11.2,198,"2018","Pacific cod",0,311
41,"PW-4","Port Wrangell",11.2,198,"2018","walleye pollock",0,8
46,"Mit-1","Mitrofania",9.5,203,"2018","Pacific cod",5,70
46,"Mit-1","Mitrofania",9.5,203,"2018","walleye pollock",17,118
47,"Mit-2","Mitrofania",9.7,203,"2018","Pacific cod",0,72
47,"Mit-2","Mitrofania",9.7,203,"2018","walleye pollock",0,10
48,"Mit-3","Mitrofania",10.9,203,"2018","Pacific cod",0,55
48,"Mit-3","Mitrofania",10.9,203,"2018","walleye pollock",0,2
49,"Mit-4","Mitrofania",10.5,203,"2018","Pacific cod",0,131
49,"Mit-4","Mitrofania",10.5,203,"2018","walleye pollock",0,5
50,"Mit-5","Mitrofania",10.1,203,"2018","Pacific cod",0,123
50,"Mit-5","Mitrofania",10.1,203,"2018","walleye pollock",0,3
51,"Mit-6","Mitrofania",10.5,203,"2018","Pacific cod",0,16
51,"Mit-6","Mitrofania",10.5,203,"2018","walleye pollock",0,208
52,"Fox-1","Fox",9.3,205,"2018","Pacific cod",0,389
52,"Fox-1","Fox",9.3,205,"2018","walleye pollock",4,3
53,"Fox-2","Fox",9.7,205,"2018","Pacific cod",0,129
53,"Fox-2","Fox",9.7,205,"2018","walleye pollock",0,1
54,"Fox-3","Fox",10.4,205,"2018","Pacific cod",0,276
54,"Fox-3","Fox",10.4,205,"2018","walleye pollock",0,0
55,"Fox-4","Fox",11,205,"2018","Pacific cod",0,26
55,"Fox-4","Fox",11,205,"2018","walleye pollock",0,0
56,"Fox-5","Fox",11.1,205,"2018","Pacific cod",0,12
56,"Fox-5","Fox",11.1,205,"2018","walleye pollock",0,0
57,"Sand-1","Sand Point",10.5,207,"2018","Pacific cod",0,2
57,"Sand-1","Sand Point",10.5,207,"2018","walleye pollock",0,0
58,"Sand-2","Sand Point",10,207,"2018","Pacific cod",0,395
58,"Sand-2","Sand Point",10,207,"2018","walleye pollock",0,0
59,"Sand-3","Sand Point",10,207,"2018","Pacific cod",0,316
59,"Sand-3","Sand Point",10,207,"2018","walleye pollock",0,0
60,"Fal-1","Falmouth",9.1,210,"2018","Pacific cod",0,406
60,"Fal-1","Falmouth",9.1,210,"2018","walleye pollock",0,0
61,"Fal-2","Falmouth",9.3,210,"2018","Pacific cod",0,224
61,"Fal-2","Falmouth",9.3,210,"2018","walleye pollock",0,0
62,"Fal-3","Falmouth",9.1,210,"2018","Pacific cod",0,118
62,"Fal-3","Falmouth",9.1,210,"2018","walleye pollock",0,1
63,"Fal-4","Falmouth",9.3,211,"2018","Pacific cod",0,1324
63,"Fal-4","Falmouth",9.3,211,"2018","walleye pollock",0,44
64,"Fal-5","Falmouth",9.5,211,"2018","Pacific cod",0,111
64,"Fal-5","Falmouth",9.5,211,"2018","walleye pollock",0,0
65,"Bar-1","Baralof",9,213,"2018","Pacific cod",0,257
65,"Bar-1","Baralof",9,213,"2018","walleye pollock",0,0
66,"Bar-2","Baralof",9.4,213,"2018","Pacific cod",0,420
66,"Bar-2","Baralof",9.4,213,"2018","walleye pollock",0,0
67,"Bar-3","Baralof",9.2,213,"2018","Pacific cod",0,667
67,"Bar-3","Baralof",9.2,213,"2018","walleye pollock",0,0
68,"Bar-4","Baralof",8.7,213,"2018","Pacific cod",0,304
68,"Bar-4","Baralof",8.7,213,"2018","walleye pollock",0,0
69,"Bar-5","Baralof",9.3,213,"2018","Pacific cod",0,183
69,"Bar-5","Baralof",9.3,213,"2018","walleye pollock",0,0
70,"Bar-6","Baralof",9.8,213,"2018","Pacific cod",0,87
70,"Bar-6","Baralof",9.8,213,"2018","walleye pollock",0,0
71,"BB-1","Balboa",12.2,217,"2018","Pacific cod",0,6
71,"BB-1","Balboa",12.2,217,"2018","walleye pollock",0,0
72,"BB-2","Balboa",12,217,"2018","Pacific cod",0,86
72,"BB-2","Balboa",12,217,"2018","walleye pollock",0,0
73,"BB-3","Balboa",10.7,217,"2018","Pacific cod",0,20
73,"BB-3","Balboa",10.7,217,"2018","walleye pollock",0,0
74,"BB-4","Balboa",12.5,217,"2018","Pacific cod",0,294
74,"BB-4","Balboa",12.5,217,"2018","walleye pollock",0,0
75,"BB-5","Balboa",12,217,"2018","Pacific cod",0,2
75,"BB-5","Balboa",12,217,"2018","walleye pollock",0,0
76,"BB-6","Balboa",13.5,217,"2018","Pacific cod",0,542
76,"BB-6","Balboa",13.5,217,"2018","walleye pollock",0,0
77,"Fox-4","Fox",12.5,219,"2018","Pacific cod",0,0
77,"Fox-4","Fox",12.5,219,"2018","walleye pollock",0,0
78,"Fox-5","Fox",12.9,219,"2018","Pacific cod",0,0
78,"Fox-5","Fox",12.9,219,"2018","walleye pollock",0,0
79,"Fox-1","Fox",14.3,219,"2018","Pacific cod",0,147
79,"Fox-1","Fox",14.3,219,"2018","walleye pollock",2,0
80,"Fox-2","Fox",13.9,219,"2018","Pacific cod",0,17
80,"Fox-2","Fox",13.9,219,"2018","walleye pollock",0,0
81,"Fox-3","Fox",14.5,219,"2018","Pacific cod",0,33
81,"Fox-3","Fox",14.5,219,"2018","walleye pollock",0,0
82,"Mit-1","Mitrofania",10.5,221,"2018","Pacific cod",0,172
82,"Mit-1","Mitrofania",10.5,221,"2018","walleye pollock",0,87
